time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-24T01:25:37.830Z,11.5364,-86.8887,35,4.4,mb,,169,0.833,1.11,us,us2000jm97,2019-02-24T01:41:51.040Z,"49km SW of Masachapa, Nicaragua",earthquake,4.3,1.9,0.057,89,reviewed,us,us
2019-02-24T00:33:21.130Z,37.5277,141.9426,36.85,4.4,mwr,,114,0.975,0.84,us,us2000jm8p,2019-02-24T00:50:35.040Z,"83km E of Namie, Japan",earthquake,6.6,5.2,0.062,25,reviewed,us,us
2019-02-24T00:10:03.150Z,35.7808342,-121.3219986,0.79,2.53,md,32,172,0.08262,0.24,nc,nc73145031,2019-02-24T02:59:04.065Z,"19km NW of San Simeon, CA",earthquake,0.65,3.3,0.09,31,automatic,nc,nc
2019-02-23T23:53:29.525Z,61.4721,-150.038,16.9,2.5,ml,,,,0.73,ak,ak0192hp14vc,2019-02-24T03:39:31.040Z,"7km SW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-23T21:38:10.270Z,29.5517,104.5937,10,4.9,mb,,60,10.604,0.77,us,us2000jm6f,2019-02-24T02:54:05.296Z,"6km WNW of Yanling, China",earthquake,8.2,1.8,0.045,151,reviewed,us,us
2019-02-23T21:24:02.010Z,64.6505,-17.4367,10,4.5,mb,,106,1.674,0.76,us,us2000jm6n,2019-02-23T22:34:52.040Z,"116km WNW of Hofn, Iceland",earthquake,8.7,1.9,0.1,29,reviewed,us,us
2019-02-23T20:56:54.360Z,-41.7347,174.1423,17.35,4.1,mb,,75,0.055,0.56,us,us2000jm5t,2019-02-24T05:06:59.040Z,"28km SSE of Blenheim, New Zealand",earthquake,3.2,2,0.369,2,reviewed,us,us
2019-02-23T19:58:33.290Z,16.9278,-60.5287,22.67,4.2,mwr,,86,0.799,0.61,us,us2000jm4y,2019-02-23T20:50:14.040Z,"90km NE of Grande Anse, Guadeloupe",earthquake,4.6,5.6,0.059,28,reviewed,us,us
2019-02-23T19:21:07.770Z,19.2595,-67.8005,77,4.1,ml,23,207,0.9322,0.61,pr,pr2019054008,2019-02-23T21:26:55.525Z,"98km NW of San Antonio, Puerto Rico",earthquake,4.7,8.42,0.34,20,reviewed,pr,pr
2019-02-23T18:14:06.220Z,18.8091,-67.4198,16,2.55,md,10,215,0.4288,0.24,pr,pr2019054010,2019-02-24T00:13:20.986Z,"48km NW of San Antonio, Puerto Rico",earthquake,0.85,1.11,0.37,9,reviewed,pr,pr
2019-02-23T17:54:50.710Z,19.5218,-64.7875,52,3.21,md,10,338,1.7406,0.19,pr,pr2019054009,2019-02-24T00:12:57.986Z,"123km N of Road Town, British Virgin Islands",earthquake,2.7,12.79,0.49,8,reviewed,pr,pr
2019-02-23T17:43:48.260Z,18.6025,-64.8853,93,2.83,md,4,339,1.2783,0.07,pr,pr2019054007,2019-02-24T00:12:27.874Z,"29km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.24,4.41,0.55,4,reviewed,pr,pr
2019-02-23T17:40:33.330Z,-9.7593,149.9186,5.06,5.2,mb,,35,5.963,1.18,us,us2000jm3c,2019-02-23T17:56:29.040Z,"83km NW of Alotau, Papua New Guinea",earthquake,7.7,4,0.07,68,reviewed,us,us
